892,3,male,34.5,0,0,330911,7.8292,,
3,female,47,1,0,363272,7,,S,
male,62,0,0,240276,9.6875,,Q,3,
27,0,0,315154,8.6625,,S,4,896,
1,1,3101298,12.2875,,S,5,897,3,
898,3,female,30,0,0,330972,7.6292,,
2,male,26,1,1,248738,29,,S,
female,18,0,0,2657,7.2292,,C,9,
21,2,0,A/4 48871,24.15,,S,10,902,
0,0,349220,7.8958,,S,11,903,1,
0,694,26,,S,12,904,1,female,
3,male,34.5,0,0,892,330911,7.8292,,
female,47,1,0,893,363272,7,,S,
62,0,0,894,240276,9.6875,,Q,3,
0,0,895,315154,8.6625,,S,4,3,
1,896,3101298,12.2875,,S,5,3,male,
3,female,30,0,0,898,330972,7.6292,,
male,26,1,1,899,248738,29,,S,
18,0,0,900,2657,7.2292,,C,9,
2,0,901,A/4 48871,24.15,,S,10,3,
0,902,349220,7.8958,,S,11,1,male,
903,694,26,,S,12,1,female,23,
892,3,male,34.5,0,0,330911,7.8292,,
3,female,47,1,0,363272,7,,S,
male,62,0,0,240276,9.6875,,Q,3,
27,0,0,315154,8.6625,,S,4,896,
1,1,3101298,12.2875,,S,5,897,3,
898,3,female,30,0,0,330972,7.6292,,
2,male,26,1,1,248738,29,,S,
female,18,0,0,2657,7.2292,,C,9,
21,2,0,A/4 48871,24.15,,S,10,902,
0,0,349220,7.8958,,S,11,903,1,
0,694,26,,S,12,904,1,female,
3,male,34.5,0,0,892,330911,7.8292,,
female,47,1,0,893,363272,7,,S,
62,0,0,894,240276,9.6875,,Q,3,
0,0,895,315154,8.6625,,S,4,3,
1,896,3101298,12.2875,,S,5,3,male,
3,female,30,0,0,898,330972,7.6292,,
male,26,1,1,899,248738,29,,S,
18,0,0,900,2657,7.2292,,C,9,
2,0,901,A/4 48871,24.15,,S,10,3,
0,902,349220,7.8958,,S,11,1,male,
903,694,26,,S,12,1,female,23,
908,2,female,24,1,0,SC/PARIS 2167,27.7208,,
909,2,female,24,1,0,SC/PARIS 2167,27.7208,,
906,2,female,24,1,0,SC/PARIS 2167,27.7208,,
892,3,male,34.5,0,0,330911,7.8292,,
3,female,47,1,0,363272,7,,S,
male,62,0,0,240276,9.6875,,Q,3,
27,0,0,315154,8.6625,,S,4,896,
1,1,3101298,12.2875,,S,5,897,3,
898,3,female,30,0,0,330972,7.6292,,
2,male,26,1,1,248738,29,,S,
female,18,0,0,2657,7.2292,,C,9,
21,2,0,A/4 48871,24.15,,S,10,902,
